Events,Favourite,Underdog,Label,REACH_delta,SLPM_delta,SAPM_delta,STRA_delta,STRD_delta,TD_delta,TDA_delta,TDD_delta,SUBA_delta,Odds_delta,Sum_delta
UFC 159 - Jones vs. Sonnen,Jon Jones,Chael Sonnen,Favourite,10,1.17,0.9,0.12,0.03,-1.56,-0.07,0.28,0.2,-7.87,2.6
UFC 159 - Jones vs. Sonnen,Leonard Garcia,Cody McKenzie,Underdog,-3,1.03,2.29,-0.1,-0.15,-2.2,0.01,0.28,-2,1.4,2
UFC Fight Night 34 - Saffiedine vs. Lim,Mairbek Taisumov,Tae Hyun Bang,Favourite,2,0.54,8.00000000000001e-02,0.05,-0.05,1.75,0.44,0.28,-0.5,-2.89,5.04
UFC Fight Night 91 - McDonald vs. Lineker,Cody Pfister,Scott Holtzman,Underdog,4,-3.15,-0.85,-0.24,-5.99999999999999e-02,0.55,-0.27,-0.58,-0.4,6.89,-0.86
UFC Fight Night 91 - McDonald vs. Lineker,Matthew Lopez,Rani Yahya,Underdog,2,0.02,0.86,0.13,-0.06,-8.00000000000001e-02,0.51,0.37,-0.5,0.81,3.18
UFC on Fox 20 - Holm vs. Shevchenko,Holly Holm,Valentina Shevchenko,Underdog,2,0.6,0.37,-0.17,-0.01,-2.06,-0.34,0.05,-0.2,-1.75,1.03
UFC on Fox 20 - Holm vs. Shevchenko,Edson Barboza,Gilbert Melendez,Favourite,2,0.39,1.36,0.08,-0.01,-1.19,0.11,0.15,-0.1,-1.27,3.3
UFC on Fox 20 - Holm vs. Shevchenko,Bojan Mihajlovic,Francis Ngannou,Underdog,-10,-1.57,2.06,-0.06,-0.02,0,0,0.27,-0.7,0.71,1.98
UFC on Fox 20 - Holm vs. Shevchenko,Kailin Curran,Felice Herrig,Underdog,0,0.76,0.18,0.09,0.01,0.79,0.4,0.17,-1,0.05,5.61
UFC on Fox 20 - Holm vs. Shevchenko,Frankie Saenz,Eddie Wineland,Underdog,-3,0.73,-0.29,0.16,-0.18,1.41,0,-0.16,0,0.72,5.35
UFC on Fox 20 - Holm vs. Shevchenko,Darren Elkins,Godofredo Pepey,Favourite,-2,0.95,-0.26,-0.08,0.12,2.3,0.22,0.04,-0.4,-1.62,5.67
UFC on Fox 20 - Holm vs. Shevchenko,Alexander Yakovlev,Kamaru Usman,Underdog,-2,-2.11,1.39,-0.07,-0.09,-3.29,-0.2,0.72,-0.5,-1.94,-2.28
UFC on Fox 20 - Holm vs. Shevchenko,Michel Prazeres,JC Cottrell,Favourite,-4,1.8,-0.18,0.21,0.15,3.57,-0.64,-0.04,0.3,-1.54,8.17
UFC Fight Night 34 - Saffiedine vs. Lim,Dustin Kimura,Jon Delos Reyes,Favourite,4,-1.66,-0.32,-0.17,0,-2.27,-0.46,-0.05,0.3,-2.89,-0.11
UFC on Fox 20 - Holm vs. Shevchenko,Alex Oliveira,James Moontasri,Favourite,5,0.23,-2.2,0.04,0.03,3.7,0.36,-0.2,0.7,-1.38,7
UFC on Fox 20 - Holm vs. Shevchenko,Jim Alers,Jason Knight,Underdog,0,-0.99,1.73,0.02,0.04,0.18,-0.01,0.26,-2.5,-1.09,1.76
UFC 201 - Lawler vs. Woodley,Robbie Lawler,Tyron Woodley,Underdog,0,0.98,1.18,-0.04,0.01,-0.75,0.23,-0.24,-0.5,-0.72,3.86
UFC 201 - Lawler vs. Woodley,Rose Namajunas,Karolina Kowalkiewicz,Underdog,0,-1.05,-1.83,0.1,3.99999999999999e-02,3.02,0.6,-0.42,1.2,-1.23,6.94
UFC 201 - Lawler vs. Woodley,Matt Brown,Jake Ellenberger,Underdog,4,1.33,-0.1,0.15,-4.99999999999999e-02,-0.5,-9.99999999999995e-03,-0.24,1.3,-1.94,4.99
UFC 201 - Lawler vs. Woodley,Erik Perez,Francisco Rivera,Favourite,0,-0.91,-1.07,-9.99999999999995e-03,-0.02,2.15,-0.08,9.9999999999999e-03,-0.4,-0.79,3.24
UFC 201 - Lawler vs. Woodley,Fredy Serrano,Ryan Benoit,Underdog,-3,-0.5,-1.27,-0.06,0.01,2.53,0,0.25,-0.3,6.00000000000001e-02,4.14
UFC 201 - Lawler vs. Woodley,Nikita Krylov,Ed Herman,Favourite,0,3.44,8.00000000000001e-02,0.09,0.03,-2.38,-0.35,-0.25,0.6,-1.62,4.56
UFC 201 - Lawler vs. Woodley,Jorge Masvidal,Ross Pearson,Favourite,5,0.69,-0.71,0.06,0.04,0.97,0.23,0.03,0.4,1.67,5.69
