NAME,Weight,WeightClass,REACH,SLPM,SAPM,STRA,STRD,TD,TDA,TDD,SUBA
Tom Aaron,155,lightweight,71,0,0,0,0,0,0,0,0
Danny Abbadi,155,lightweight,71,3.29,4.41,0.38,0.57,0,0,0.77,0
David Abbott,265,heavyweight,77,1.35,3.55,0.3,0.38,1.07,0.33,0.66,0
Shamil Abdurakhimov,235,heavyweight,76,2.53,2.53,0.45,0.58,1.36,0.22,0.77,0.3
Hiroyuki Abe,145,featherweight,70,1.71,3.11,0.36,0.63,0,0,0.33,0
Daichi Abe,170,welterweight,71,4.2,2.87,0.34,0.67,1,1,0,0
Papy Abedi,185,middleweight,74,2.8,3.15,0.55,0.48,3.47,0.57,0.5,1.3
Ricardo Abreu,185,middleweight,73,3.79,3.98,0.31,0.68,2.13,0.42,1,0.7
Daniel Acacio,180,middleweight,75,3.52,2.85,0.36,0.62,0.33,0.2,0.81,0
Scott Adams,225,heavyweight,77,0,0,0,0,0,0,0,0
Sam Adkins,225,heavyweight,77,0,0,0,0,0,0,0,0
Nick Agallar,155,lightweight,71,0.69,4.56,0.11,0.42,0,0,0,0
Marcelo Aguiar,170,welterweight,73,0,0,0,0,0,0,0,0
Edwin Aguilar,185,middleweight,75,0,0,0,0,0,0,0,0
Jessica Aguilar,115,strawweight,63,4.23,7.13,0.43,0.6,2,0.5,0,0
Mike Aina,155,lightweight,71,2.87,6.33,0.33,0.59,0,0,0.71,0
Hitomi Akano,135,bantamweight,68,0.59,2.58,0.45,0.55,0,0,0.08,0.5
Omari Akhmedov,170,welterweight,73,2.94,2.65,0.34,0.57,3.41,0.54,0.5,0.4
Yoshihiro Akiyama,170,welterweight,73,3.1,3.62,0.41,0.57,2.29,0.67,0.92,1
Razak Al-Hassan,205,lightheavyweight,76,3.27,3.14,0.39,0.6,0.65,0.14,0.57,0
Mostapha Al-Turk,245,heavyweight,77,1.36,3.61,0.19,0.53,0,0,0,0
Javi Alanis,135,bantamweight,68,0,0,0,0,0,0,0,0
Brett Albee,225,heavyweight,77,0,0,0,0,0,0,0,0
John Albert,135,bantamweight,68,3.05,2.82,0.49,0.35,0,0,0.5,6.1
Junior Albini,264,heavyweight,74,3.87,6.22,0.48,0.54,0,0,1,0
Wes Albritton,188,lightheavyweight,76,0,0,0,0,0,0,0,0
Alexandra Albu,115,strawweight,63,5.26,5.01,0.51,0.41,3.18,0.55,0.81,0.6
Israel Albuquerque,185,middleweight,75,0.32,3.34,0.13,0.25,0,0,0,0
Iuri Alcantara,135,bantamweight,71,2.69,2.53,0.46,0.48,1.54,0.69,0.57,0.8
Ildemar Alcantara,185,middleweight,78,1.93,2.63,0.38,0.5,2,0.68,0.81,0.9
Alfonso Alcarez,145,featherweight,70,0,0,0,0,0,0,0,0
Gilbert Aldana,250,heavyweight,77,2.91,6.26,0.54,0.26,2.57,0.4,0.33,0
Irene Aldana,135,bantamweight,68,6.4,9.13,0.4,0.59,0.5,1,1,0
Jose Aldo,145,featherweight,70,3.46,2.91,0.44,0.67,0.74,0.68,0.92,0.2
JJ Aldrich,115,strawweight,67,4.3,4.93,0.39,0.6,0,0,0.33,0
Jim Alers,145,featherweight,71,2.9,4.38,0.4,0.56,2.26,0.41,0.8,0.3
John Alessio,155,lightweight,72,1.87,2.46,0.35,0.57,1.78,0.36,0.72,1
Houston Alexander,205,lightheavyweight,72,3.06,3.2,0.54,0.52,1.19,0.57,0.33,0
Kenneth Alexander,155,lightweight,71,0.88,2.2,0.19,0.66,4.71,0.26,0,0
Marcio Alexandre Junior,170,welterweight,75,1.66,2.97,0.44,0.41,0.37,0.2,0.72,0.4
Olaf Alfonso,170,welterweight,73,0.74,5.33,0.26,0.37,0,0,0.22,0.6
Pablo Alfonso,145,featherweight,70,0,0,0,0,0,0,0,0
Royce Alger,199,lightheavyweight,76,0,0,0,0,0,0,0,0
Sultan Aliev,170,welterweight,74,1.3,2.03,0.57,0.58,1.69,0.66,1,0
George Allen,205,lightheavyweight,76,0.8,3.1,0.38,0.43,0,0,0.5,0
Arnold Allen,145,featherweight,70,2.06,1.85,0.34,0.55,2.88,0.57,0.75,0.7
Benny Alloway,170,welterweight,75,1.28,1.9,0.49,0.59,0.62,0.5,0.26,0
Ricardo Almeida,170,welterweight,74,2.02,1.2,0.49,0.61,3.74,0.38,0.31,1.2
Magno Almeida,155,lightweight,71,1.67,2.6,0.36,0.41,0,0,0.4,5
Thomas Almeida,135,bantamweight,70,6,4.53,0.48,0.63,0,0,0.76,0
Ericka Almeida,115,strawweight,68,1.07,3.33,0.39,0.43,0.5,0.33,0.37,0
Mauricio Alonso,170,welterweight,73,5.74,1.91,0.34,0.67,0,0,0,0
Rico Altamirano,170,welterweight,73,0,0,0,0,0,0,0,0
Mike Altman,185,middleweight,75,1.56,2.08,0.2,0.75,0,0,0,0
Sean Alvarez,235,heavyweight,77,0.89,3.25,0.37,0.47,0,0,0,0
Eddie Alvarez,155,lightweight,69,4.44,4.28,0.41,0.55,3.14,0.38,0.92,0.4
Jaime Alvarez,125,flyweight,69,2.73,4.53,0.4,0.56,1,0.33,0.5,0
Thiago Alves,170,welterweight,70,3.6,3.07,0.41,0.64,0.75,0.66,0.63,0.4
Amilcar Alves,170,welterweight,73,0.5,2.02,0.46,0.3,0,0,0.53,0
Warlley Alves,170,welterweight,72,2.8,4.1,0.46,0.5,1.3,0.43,0.75,1.1
Sam Alvey,185,middleweight,75,3.08,3.18,0.46,0.54,0,0,0.84,0.1
Andre Amado,154,lightweight,71,2.27,5.91,0.24,0.63,0,0,0.2,0
Adlan Amagov,170,welterweight,76,3.29,0.82,0.47,0.78,5.84,0.56,1,0
Chris Amarante,185,middleweight,75,0,0,0,0,0,0,0,0
Jimmy Ambriz,315,heavyweight,77,0.83,3.76,0.29,0.4,3.13,0.57,1,0.8
JJ Ambrose,170,welterweight,73,3.16,6.32,0.69,0.33,0,0,0.5,0
Makwan Amirkhani,145,featherweight,72,1.73,1.45,0.53,0.53,4.24,0.45,0.5,2.4
Bertrand Amoussou,190,lightheavyweight,76,6.75,2.01,0.39,0.83,0,0,0,0
Karl Amoussou,185,middleweight,75,1.47,2.67,0.34,0.54,0,0,0.25,1
Eryk Anders,185,middleweight,75,7.93,4.83,0.79,0.39,5.17,0.5,1,0
Matt Andersen,230,heavyweight,77,0,0,0,0,0,0,0,0
Andy Anderson,240,heavyweight,77,0,0,0,0,0,0,0,0
Lowell Anderson,160,welterweight,73,0,0,0,0,0,0,0,0
Corey Anderson,205,lightheavyweight,79,4.77,2.34,0.46,0.58,4.4,0.48,0.33,0
Derek Anderson,155,lightweight,71,3.97,3.08,0.37,0.61,0.34,0.14,0.6,0
Megan Anderson,145,featherweight,70,0,0,0,0,0,0,0,0
Alex Andrade,200,lightheavyweight,76,0.2,2.6,0.36,0.53,0,0,0.25,0.8
Jessica Andrade,115,strawweight,62,6.45,4.98,0.51,0.51,2.5,0.52,0.78,0.5
Viscardi Andrade,170,welterweight,75,3.26,2.77,0.42,0.63,1.93,0.5,0.66,0.3
Jermaine Andre,200,lightheavyweight,76,0,0,0,0,0,0,0,0
Dylan Andrews,185,middleweight,73,2.21,2.72,0.5,0.46,2.83,0.5,0.57,0.4
Reese Andy,205,lightheavyweight,76,2.87,3.5,0.5,0.58,0.67,0.2,0.4,0
Yoji Anjo,205,lightheavyweight,76,0,3.13,0,0.25,0,0,0,0
Nina Ansaroff,115,strawweight,64,5.22,3.77,0.48,0.53,0.51,0.4,0.73,1
Gadzhimurad Antigulov,205,lightheavyweight,70,0.58,0.87,0.25,0.66,8.65,1,0,8.7
Adam Antolin,125,flyweight,63,5.73,5,0.52,0.69,0,0,1,0
Angelo Antonio,205,lightheavyweight,76,1.09,7.64,0.5,0.5,0,0,0,0
Zu Anyanwu,251,heavyweight,77,2.47,2.47,0.42,0.69,0.65,1,0,0
Shinsho Anzai,170,welterweight,70,3.49,3.69,0.59,0.46,2,0.16,1,0
Shinya Aoki,154,lightweight,71,0.97,1.25,0.58,0.58,2.54,0.41,0.6,4
Erik Apple,170,welterweight,73,0,0.54,0,0.81,0,0,0,8.1
Kenji Arai,145,featherweight,70,8.79,10.29,0.27,0.39,0,0,0,0
Romie Aram,170,welterweight,73,1.8,2.83,0.35,0.5,2.5,0.62,0.83,0
Felipe Arantes,145,featherweight,73,2.48,2.56,0.45,0.64,1,0.52,0.42,0.8
Igor Araujo,170,welterweight,77,1.52,2.86,0.42,0.49,0.86,0.15,0.22,0.6
Julio Arce,145,featherweight,70,8.24,2.61,0.51,0.7,0,0,1,0
Art Arciniega,145,featherweight,70,1.53,2.73,0.46,0.51,0,0,0.5,1
Tristan Arenal,155,lightweight,71,0,0,0,0,0,0,0,0
Andrei Arlovski,240,heavyweight,77,3.24,2.61,0.42,0.58,0.33,0.33,0.8,0.4
Austin Arnett,145,featherweight,74,7,8.93,0.38,0.7,0,0,0,1
Ricardo Arona,205,lightheavyweight,76,1.66,1.15,0.48,0.57,2.41,0.48,0.58,1.2
Chalid Arrab,205,lightheavyweight,76,1.56,1.63,0.34,0.56,3.05,0.75,0.37,1
Akbarh Arreola,155,lightweight,71,2.32,4.01,0.45,0.56,1.07,1,0.33,0.4
Matt Arroyo,170,welterweight,72,1.62,2.01,0.47,0.58,2.12,0.36,1,5.3
Gilles Arsene,190,lightheavyweight,76,0.06,2.45,0.1,0.32,0,0,0,0
Veta Arteaga,125,flyweight,67,3.2,1.92,0.36,0.65,0,0,0.4,0
Cesar Arzamendia,155,lightweight,71,5.37,5.2,0.45,0.56,7.32,0.75,0,2.4
Cyril Asker,247,heavyweight,74,3.67,4.15,0.4,0.4,5.1,0.62,1,1
Scott Askham,185,middleweight,75,3.03,3.52,0.46,0.52,0.44,0.18,0.65,0.7
Junior Assuncao,145,featherweight,72,3.31,2.06,0.62,0.44,2.43,0.24,0.66,0.7
