RecordID,Events,Fighter1,Fighter2,Winner,fighter1_odds,fighter2_odds,F1 or F2,Label,Combine,Favourite,Underdog
1,UFC 159 - Jones vs. Sonnen,Jon Jones,Chael Sonnen,Jon Jones,1.13,9,1,Favourite,Favourite 1,Jon Jones,Chael Sonnen
2,UFC 159 - Jones vs. Sonnen,Michael Bisping,Alan Belcher,Michael Bisping,1.57,4.5,1,Favourite,Favourite 1,Michael Bisping,Alan Belcher
3,UFC 159 - Jones vs. Sonnen,Roy Nelson,Cheick Kongo,Roy Nelson,1.43,3.2,1,Favourite,Favourite 1,Roy Nelson,Cheick Kongo
4,UFC 159 - Jones vs. Sonnen,Phil Davis,Vinny Magalhaes,Phil Davis,1.36,3.55,1,Favourite,Favourite 1,Phil Davis,Vinny Magalhaes
5,UFC 159 - Jones vs. Sonnen,Pat Healy,Jim Miller,Pat Healy,3.4,1.4,1,Underdog,Underdog 1,Jim Miller,Pat Healy
6,UFC 159 - Jones vs. Sonnen,Rustam Khabilov,Yancy Medeiros,Rustam Khabilov,1.54,3.4,1,Favourite,Favourite 1,Rustam Khabilov,Yancy Medeiros
7,UFC 159 - Jones vs. Sonnen,Ovince St Preux,Gian Villante,Ovince St Preux,1.69,2.4,1,Favourite,Favourite 1,Ovince Saint Preux,Gian Villante
8,UFC 159 - Jones vs. Sonnen,Sara McMann,Sheila Gaff,Sara McMann,1.18,5.8,1,Favourite,Favourite 1,Sara McMann,Sheila Gaff
9,UFC 159 - Jones vs. Sonnen,Bryan Caraway,Johnny Bedford,Bryan Caraway,2.15,1.91,1,Underdog,Underdog 1,Johnny Bedford,Bryan Caraway
10,UFC 159 - Jones vs. Sonnen,Cody McKenzie,Leonard Garcia,Cody McKenzie,2.93,1.53,1,Underdog,Underdog 1,Leonard Garcia,Cody McKenzie
11,UFC 159 - Jones vs. Sonnen,Steven Siler,Kurt Holobaugh,Steven Siler,1.95,2.06,1,Favourite,Favourite 1,Steven Siler,Kurt Holobaugh
12,UFC 160 - Velasquez vs. Bigfoot 2,Cain Velasquez,Antonio Silva,Cain Velasquez,1.16,6.75,1,Favourite,Favourite 1,Cain Velasquez,Antonio Silva
13,UFC 160 - Velasquez vs. Bigfoot 2,Junior dos Santos,Mark Hunt,Junior dos Santos,1.25,5.25,1,Favourite,Favourite 1,Junior Dos Santos,Mark Hunt
14,UFC 160 - Velasquez vs. Bigfoot 2,Glover Teixeira,James Te Huna,Glover Teixeira,1.33,4.75,1,Favourite,Favourite 1,Glover Teixeira,James Te Huna
15,UFC 160 - Velasquez vs. Bigfoot 2,T.J. Grant,Gray Maynard,T.J. Grant,2.65,1.74,1,Underdog,Underdog 1,Gray Maynard,TJ Grant
16,UFC 160 - Velasquez vs. Bigfoot 2,Donald Cerrone,K.J. Noons,Donald Cerrone,1.37,3.48,1,Favourite,Favourite 1,Donald Cerrone,KJ Noons
17,UFC 160 - Velasquez vs. Bigfoot 2,Mike Pyle,Rick Story,Mike Pyle,2.5,1.67,1,Underdog,Underdog 1,Rick Story,Mike Pyle
18,UFC 160 - Velasquez vs. Bigfoot 2,Dennis Bermudez,Max Holloway,Dennis Bermudez,1.4,3.65,1,Favourite,Favourite 1,Dennis Bermudez,Max Holloway
19,UFC 160 - Velasquez vs. Bigfoot 2,Robert Whittaker,Colton Smith,Robert Whittaker,2.75,1.71,1,Underdog,Underdog 1,Colton Smith,Robert Whittaker
20,UFC 160 - Velasquez vs. Bigfoot 2,Khabib Nurmagomedov,Abel Trujillo,Khabib Nurmagomedov,1.4,3.75,1,Favourite,Favourite 1,Khabib Nurmagomedov,Abel Trujillo
21,UFC 160 - Velasquez vs. Bigfoot 2,Stephen Thompson,Nah-Shon Burrell,Stephen Thompson,1.63,2.65,1,Favourite,Favourite 1,Stephen Thompson,Nah-Shon Burrell
22,UFC 160 - Velasquez vs. Bigfoot 2,George Roop,Brian Bowles,George Roop,3.66,1.36,1,Underdog,Underdog 1,Brian Bowles,George Roop
23,UFC 160 - Velasquez vs. Bigfoot 2,Jeremy Stephens,Estevan Payan,Jeremy Stephens,1.6,2.9,1,Favourite,Favourite 1,Jeremy Stephens,Estevan Payan
24,UFC on Fox 8 - Johnson vs. Moraga,Demetrious Johnson,John Moraga,Demetrious Johnson,1.25,4.75,1,Favourite,Favourite 1,Demetrious Johnson,John Moraga
25,UFC on Fox 8 - Johnson vs. Moraga,Rory MacDonald,Jake Ellenberger,Rory MacDonald,1.43,3.14,1,Favourite,Favourite 1,Rory MacDonald,Jake Ellenberger
26,UFC on Fox 8 - Johnson vs. Moraga,Robbie Lawler,Bobby Voelker,Robbie Lawler,1.29,4.15,1,Favourite,Favourite 1,Robbie Lawler,Bobby Voelker
27,UFC on Fox 8 - Johnson vs. Moraga,Liz Carmouche,Jessica Andrade,Liz Carmouche,1.2,5.75,1,Favourite,Favourite 1,Liz Carmouche,Jessica Andrade
28,UFC on Fox 8 - Johnson vs. Moraga,Jorge Masvidal,Michael Chiesa,Jorge Masvidal,1.4,3.55,1,Favourite,Favourite 1,Jorge Masvidal,Michael Chiesa
29,UFC on Fox 8 - Johnson vs. Moraga,Danny Castillo,Tim Means,Danny Castillo,1.5,3.45,1,Favourite,Favourite 1,Danny Castillo,Tim Means
30,UFC on Fox 8 - Johnson vs. Moraga,Melvin Guillard,Mac Danzig,Melvin Guillard,1.91,2.45,1,Favourite,Favourite 1,Melvin Guillard,Mac Danzig
31,UFC on Fox 8 - Johnson vs. Moraga,Daron Cruickshank,Yves Edwards,Daron Cruickshank,1.67,2.75,1,Favourite,Favourite 1,Daron Cruickshank,Yves Edwards
32,UFC on Fox 8 - Johnson vs. Moraga,Ed Herman,Trevor Smith,Ed Herman,1.57,3,1,Favourite,Favourite 1,Ed Herman,Trevor Smith
33,UFC on Fox 8 - Johnson vs. Moraga,Germaine de Randamie,Julie Kedzie,Germaine de Randamie,1.63,2.7,1,Favourite,Favourite 1,Germaine de Randamie,Julie Kedzie
34,UFC on Fox 8 - Johnson vs. Moraga,Justin Salas,Aaron Riley,Justin Salas,1.45,3.2,1,Favourite,Favourite 1,Justin Salas,Aaron Riley
35,UFC on Fox 8 - Johnson vs. Moraga,Yaotzin Meza,John Albert,Yaotzin Meza,3.3,1.47,1,Underdog,Underdog 1,John Albert,Yaotzin Meza
36,UFC 163 - Aldo vs. Korean Zombie,Jose Aldo,Chan Sung Jung,Jose Aldo,1.15,8.05,1,Favourite,Favourite 1,Jose Aldo,Chan Sung Jung
37,UFC 163 - Aldo vs. Korean Zombie,Phil Davis,Lyoto Machida,Phil Davis,1.4,4.05,1,Favourite,Favourite 1,Phil Davis,Lyoto Machida
38,UFC 163 - Aldo vs. Korean Zombie,Cezar Ferreira,Thiago Santos,Cezar Ferreira,1.22,5.1,1,Favourite,Favourite 1,Cezar Ferreira,Thiago Santos
39,UFC 163 - Aldo vs. Korean Zombie,Thales Leites,Tom Watson,Thales Leites,1.69,2.5,1,Favourite,Favourite 1,Thales Leites,Tom Watson
40,UFC 163 - Aldo vs. Korean Zombie,John Lineker,Jose Maria Tome,John Lineker,1.27,4.55,1,Favourite,Favourite 1,John Lineker,Jose Maria
41,UFC 163 - Aldo vs. Korean Zombie,Anthony Perosh,Vinny Magalhaes,Anthony Perosh,5.35,1.22,1,Underdog,Underdog 1,Vinny Magalhaes,Anthony Perosh
42,UFC 163 - Aldo vs. Korean Zombie,Amanda Nunes,Sheila Gaff,Amanda Nunes,1.51,3,1,Favourite,Favourite 1,Amanda Nunes,Sheila Gaff
43,UFC 163 - Aldo vs. Korean Zombie,Sergio Moraes,Neil Magny,Sergio Moraes,1.72,2.51,1,Favourite,Favourite 1,Sergio Moraes,Neil Magny
44,UFC 163 - Aldo vs. Korean Zombie,Ian McCall,Iliarde Santos,Ian McCall,1.22,5.05,1,Favourite,Favourite 1,Ian McCall,Iliarde Santos
45,UFC 163 - Aldo vs. Korean Zombie,Rani Yahya,Josh Clopton,Rani Yahya,1.13,9.17,1,Favourite,Favourite 1,Rani Yahya,Josh Clopton
46,UFC 163 - Aldo vs. Korean Zombie,Francimar Barroso,Ednaldo Oliveira,Francimar Barroso,2.4,1.83,1,Underdog,Underdog 1,Ednaldo Oliveira,Francimar Barroso
47,UFC 163 - Aldo vs. Korean Zombie,Viscardi Andrade,Bristol Marunde,Viscardi Andrade,1.57,2.77,1,Favourite,Favourite 1,Viscardi Andrade,Bristol Marunde
48,UFC Fight Night 26 - Shogun vs. Sonnen,Chael Sonnen,Mauricio Rua,Chael Sonnen,2.55,1.67,1,Underdog,Underdog 1,Mauricio Rua,Chael Sonnen
49,UFC Fight Night 26 - Shogun vs. Sonnen,Travis Browne,Alistair Overeem,Travis Browne,2.7,1.67,1,Underdog,Underdog 1,Alistair Overeem,Travis Browne
50,UFC Fight Night 26 - Shogun vs. Sonnen,Urijah Faber,Iuri Alcantara,Urijah Faber,1.47,3.05,1,Favourite,Favourite 1,Urijah Faber,Iuri Alcantara
51,UFC Fight Night 26 - Shogun vs. Sonnen,Matt Brown,Mike Pyle,Matt Brown,1.8,2.3,1,Favourite,Favourite 1,Matt Brown,Mike Pyle
52,UFC Fight Night 26 - Shogun vs. Sonnen,John Howard,Uriah Hall,John Howard,5.2,1.22,1,Underdog,Underdog 1,Uriah Hall,John Howard
53,UFC Fight Night 26 - Shogun vs. Sonnen,Michael Johnson,Joe Lauzon,Michael Johnson,3.6,1.42,1,Underdog,Underdog 1,Joe Lauzon,Michael Johnson
54,UFC Fight Night 26 - Shogun vs. Sonnen,Michael McDonald,Brad Pickett,Michael McDonald,1.33,4.05,1,Favourite,Favourite 1,Michael McDonald,Brad Pickett
55,UFC Fight Night 26 - Shogun vs. Sonnen,Conor McGregor,Max Holloway,Conor McGregor,1.42,3.85,1,Favourite,Favourite 1,Conor McGregor,Max Holloway
56,UFC Fight Night 26 - Shogun vs. Sonnen,Steven Siler,Mike Brown,Steven Siler,2.9,1.5,1,Underdog,Underdog 1,Mike Brown,Steven Siler
57,UFC Fight Night 26 - Shogun vs. Sonnen,Diego Brandao,Daniel Pineda,Diego Brandao,1.57,3,1,Favourite,Favourite 1,Diego Brandao,Daniel Pineda
58,UFC Fight Night 26 - Shogun vs. Sonnen,Manny Gamburyan,Cole Miller,Manny Gamburyan,1.8,2.31,1,Favourite,Favourite 1,Manvel Gamburyan,Cole Miller
59,UFC Fight Night 26 - Shogun vs. Sonnen,Ovince St Preux,Cody Donovan,Ovince St Preux,1.31,4.63,1,Favourite,Favourite 1,Ovince Saint Preux,Cody Donovan
