Number,Fighter
0,Andrei Arlovski
1,Stefan Struve
2,Travis Browne
3,Junior Dos Santos
4,Mark Hunt
5,Fabricio Werdum
6,Cain Velasquez
7,Josh Barnett
8,Stipe Miocic
9,Alistair Overeem
10,Derrick Lewis
11,Ben Rothwell
12,Anthony Hamilton
13,Walt Harris
14,Timothy Johnson
15,Francis Ngannou
16,Aleksei Oleinik
17,Todd Duffee
18,Luis Henrique
19,Marcin Tybura
20,Curtis Blaydes
21,Shamil Abdurakhimov
22,Chase Sherman
23,Justin Ledet
24,Ruslan Magomedov
25,Alexander Volkov
26,Cyril Asker
27,Damian Grabowski
28,Adam Milstead
29,Mark Godbeer
30,Daniel Spitz
31,Christian Colombo
32,Jarjis Danho
33,Chris De La Rocha
34,Dmitry Smolyakov
35,Junior Albini
36,Arjan Bhullar
37,Justin Willis
38,Azunna Anyanwu
39,Rashad Coulter
40,James Mulheron
41,Allen Crowder
42,Marcelo Golm
43,Dmitry Poberezhets
44,Dmitriy Sosnovskiy
45,Tai Tuivasa
46,Adam Wieczorek
47,Yaozong Hu
48,Ed Herman
49,Yushin Okami
50,Jon Jones
51,Ovince Saint Preux
52,Mauricio Rua
53,Gian Villante
54,Daniel Cormier
55,Alexander Gustafsson
56,Glover Teixeira
57,Igor Pokrajac
58,Tom Lawlor
59,Patrick Cummins
60,Rogerio Nogueira
61,Corey Anderson
62,Ilir Latifi
63,Jimi Manuwa
64,Francimar Barroso
65,Marcos Rogerio de Lima
66,Jan Blachowicz
67,Misha Cirkunov
68,Jared Cannonier
69,Jake Collier
70,Devin Clark
71,Ion Cutelaba
72,Khalil Rountree
73,Volkan Oezdemir
74,Paul Craig
75,Josh Stansbury
76,Bojan Mihajlovic
77,Tyson Pedro
78,Gadzhimurad Antigulov
79,Jordan Johnson
80,Marcel Fortuna
81,Jeremy Kimball
82,Abdul-Kerim Edilov
83,Aleksandar Rakic
84,Dominick Reyes
85,Gokhan Saki
86,James Bochnovic
87,Nick Roehrick
88,Saparbek Safarov
89,Magomed Ankalaev
90,Azamat Murzakanov
91,Michal Oleksiejczuk
92,Mike Rodriguez
93,Marcin Prachnio
94,Michael Bisping
95,Vitor Belfort
96,Nate Marquardt
97,Anderson Silva
98,Johny Hendricks
99,Rashad Evans
100,Tim Boetsch
101,Georges St-Pierre
102,Lyoto Machida
103,Thales Leites
104,Derek Brunson
105,Brad Tavares
106,Nick Diaz
107,CB Dollaway
108,Ronaldo Souza
109,Chris Weidman
110,Sam Alvey
111,Trevor Smith
112,Robert Whittaker
113,Kelvin Gastelum
114,Uriah Hall
115,Luke Rockhold
116,Cezar Ferreira
117,Thiago Santos
118,Anthony Smith
119,Yoel Romero
120,Anthony Smith
121,Thiago Santos
122,Hector Lombard
123,CB Dollaway
124,Omari Akhmedov
125,Krzysztof Jotko
126,Dan Kelly
127,Antonio Carlos Junior
128,Elias Theodorou
129,Brad Scott
130,Magnus Cedenblad
131,David Branch
132,Vitor Miranda
133,Siyar Bahadurzada
134,Tom Breese
135,Jack Hermansson
136,Marcelo Guimaraes
137,Eric Spicely
138,Oluwale Bamgbose
139,Jonathan Wilson
140,Jack Marshman
141,Gerald Meerschaert
142,Andrew Sanchez
143,Marvin Vettori
144,Alessio Di Chirico
145,Ryan Janes
146,Paulo Costa
147,Antonio Braga Neto
148,Keith Berish
149,Darren Stewart
150,Eryk Anders
151,Ramazan Emeev
152,Trevin Giles
153,Rob Wilkinson
154,Charles Byrd
155,Julian Marquez
156,Geoffrey Neal
157,John Phillips
158,Karl Roberson
159,Tim Williams
160,Oskar Piechota
161,Markus Perez
162,Donald Cerrone
163,Demian Maia
164,Diego Sanchez
165,Robbie Lawler
166,Matt Brown
167,Rafael Dos Anjos
168,Thiago Alves
169,Jake Ellenberger
170,Dong Hyun Kim
171,Carlos Condit
172,Mike Pyle
173,Jorge Masvidal
174,Neil Magny
175,Tyron Woodley
176,Tim Means
177,Erick Silva
178,Ben Saunders
179,Court McGee
180,Stephen Thompson
181,Gunnar Nelson
182,Alex Oliveira
183,Tarec Saffiedine
184,Alan Jouban
185,James Krause
186,Yancy Medeiros
187,Santiago Ponzinibbio
188,Zak Cummings
189,Colby Covington
190,Leon Edwards
191,Ryan LaFlare
192,Sergio Moraes
193,Peter Sobotta
194,Chad Laprise
195,Li Jingliang
196,Nordine Taleb
197,Sean Strickland
198,Alex Garcia
199,Bryan Barberena
200,Jordan Mein
201,Keita Nakamura
202,Warlley Alves
203,Vicente Luque
204,Jake Matthews
205,Hyun Gyu Lim
206,Nico Musoke
207,Alexander Yakovlev
208,Kamaru Usman
209,Belal Muhammad
210,George Sullivan
211,Randy Brown
212,Bojan Velickovic
213,Dhiego Lima
214,Darren Till
215,Danny Roberts
216,Elizeu Zaleski dos Santos
217,Mike Perry
218,Mickey Gall
219,Alberto Mina
220,Niko Price
221,Zak Ottow
222,Alex Morono
223,Nathan Coy
224,Sheldon Westcott
225,Luan Chagas
226,Claudio Silva
227,Jesse Taylor
228,Max Griffin
229,Lyman Good
230,Jonathan Meunier
231,Sultan Aliev
232,Jessin Ayari
233,Abdul Razak Alhassan
234,Shinsho Anzai
235,Brian Camozzi
236,Jim Wallhead
237,Bobby Nash
238,Emil Weber Meek
239,Luke Jumeau
240,Galore Bofando
241,Sabah Homasi
242,CM Punk
243,Oliver Enkamp
244,Abu Azaitar
245,Daichi Abe
246,Geoff Neal
247,Salim Touahri
248,Muslim Salikhov
249,Kenan Song
250,Jim Miller
251,Gleison Tibau
252,Clay Guida
253,Joe Lauzon
254,Nate Diaz
255,Ross Pearson
256,Dustin Poirier
257,Anthony Pettis
258,Nik Lentz
259,Charles Oliveira
260,Evan Dunham
261,Edson Barboza
262,Khabib Nurmagomedov
263,Josh Burkman
264,Francisco Trinaldo
265,Tony Ferguson
266,Michael Johnson
267,John Makdessi
268,Bobby Green
269,Erik Koch
270,Kevin Lee
271,Beneil Dariush
272,Conor McGregor
273,Al Iaquinta
274,Rustam Khabilov
275,Michael Chiesa
276,Abel Trujillo
277,James Krause
278,Michel Prazeres
279,Paul Felder
280,Drew Dober
281,Khabib Nurmagomedov
282,Edson Barboza
283,James Vick
284,Jon Tuck
285,Mairbek Taisumov
286,Olivier Aubin-Mercier
287,Stevie Ray
288,Johnny Case
289,Tony Martin
290,Kajan Johnson
291,Dan Hooker
292,Leonardo Santos
293,Gilbert Burns
294,Eddie Alvarez
295,Joseph Duffy
296,Alan Patrick
297,Carlos Diego Ferreira
298,Damien Brown
299,Sage Northcutt
300,Scott Holtzman
301,Jason Saggo
302,Alex White
303,Andrew Holbrook
304,Marc Diakiese
305,Marco Polo Reyes
306,Vinc Pichel
307,Islam Makhachev
308,Frankie Perez
309,Thibault Gouti
310,David Teymur
311,Joaquim Silva
312,Magomed Mustafaev
313,Josh Emmett
314,Will Brooks
315,Dong Hyun Kim
316,Teemu Packalen
317,Alvaro Herrera
318,Lando Vannata
319,Marcin Held
320,Gregor Gillespie
321,Drakkar Klose
322,Darrell Horcher
323,Jordan Rinaldi
324,Jason Gonzalez
325,Damir Hadzovic
326,Desmond Green
327,Chris Gruetzemacher
328,Justin Gaethje
329,Jared Gordon
330,Felipe Silva
331,Devin Powell
332,Frank Camacho
333,Danny Henry
334,Claudio Puelles
335,Michel Quií±ones
336,Daniel Teymur
337,Matt Frevola
338,Alex Reyes
339,Davi Ramos
340,Nasrat Haqparast
341,Jeremy Stephens
342,BJ Penn
343,Frankie Edgar
344,Cub Swanson
345,Gray Maynard
346,Jose Aldo
347,Ricardo Lamas
348,Max Holloway
349,Darren Elkins
350,Michael Johnson
